0;annees;regions;ensoleillement ;Précipitations;;;;;;;;;;;;;;;;;;;;;;;
107;2009;Picardie;69;117;;;;;;;;;;;;;;;;;;;;;;;
108;2009;Poitou-Charentes;98;114;;;;;;;;;;;;;;;;;;;;;;;
109;2009;Provence-Alpes-Côte-d'Azur;125;67;;;;;;;;;;;;;;;;;;;;;;;
110;2009;Rhône-Alpes;92;100;;;;;;;;;;;;;;;;;;;;;;;
111;2008;Alsace;67;124;;;;;;;;;;;;;;;;;;;;;;;
112;2008;Aquitaine;84;137;;;;;;;;;;;;;;;;;;;;;;;
113;2008;Auvergne;84;115;;;;;;;;;;;;;;;;;;;;;;;
114;2008;Basse Normandie;73;121;;;;;;;;;;;;;;;;;;;;;;;
115;2008;Bourgogne;76;127;;;;;;;;;;;;;;;;;;;;;;;
116;2008;Bretagne;74;119;;;;;;;;;;;;;;;;;;;;;;;
117;2008;Centre;75;128;;;;;;;;;;;;;;;;;;;;;;;
118;2008;Champagne-Ardenne;63;111;;;;;;;;;;;;;;;;;;;;;;;
119;2008;Corse;115;80;;;;;;;;;;;;;;;;;;;;;;;
120;2008;Franche-Comté;70;112;;;;;;;;;;;;;;;;;;;;;;;
121;2008;Haute Normandie;66;136;;;;;;;;;;;;;;;;;;;;;;;
122;2008;Ile-de-France;62;110;;;;;;;;;;;;;;;;;;;;;;;
123;2008;Languedoc-Roussillon;104;54;;;;;;;;;;;;;;;;;;;;;;;
124;2008;Limousin;76;125;;;;;;;;;;;;;;;;;;;;;;;
125;2008;Lorraine;68;113;;;;;;;;;;;;;;;;;;;;;;;
126;2008;Midi-Pyrénées;103;54;;;;;;;;;;;;;;;;;;;;;;;
127;2008;Nord-Pas-de-Calais;65;135;;;;;;;;;;;;;;;;;;;;;;;
128;2008;Pays de la Loire;73;120;;;;;;;;;;;;;;;;;;;;;;;
129;2008;Picardie;67;136;;;;;;;;;;;;;;;;;;;;;;;
130;2008;Poitou-Charentes;92;21;;;;;;;;;;;;;;;;;;;;;;;
131;2008;Provence-Alpes-Côte-d'Azur;113;81;;;;;;;;;;;;;;;;;;;;;;;
132;2008;Rhône-Alpes;84;115;;;;;;;;;;;;;;;;;;;;;;;
133;2007;Alsace;74;121;;;;;;;;;;;;;;;;;;;;;;;
134;2007;Aquitaine;82;125;;;;;;;;;;;;;;;;;;;;;;;
135;2007;Auvergne;84;108;;;;;;;;;;;;;;;;;;;;;;;
136;2007;Basse Normandie;71;114;;;;;;;;;;;;;;;;;;;;;;;
137;2007;Bourgogne;76;132;;;;;;;;;;;;;;;;;;;;;;;
138;2007;Bretagne;72;113;;;;;;;;;;;;;;;;;;;;;;;
139;2007;Centre;77;133;;;;;;;;;;;;;;;;;;;;;;;
140;2007;Champagne-Ardenne;71;112;;;;;;;;;;;;;;;;;;;;;;;
141;2007;Corse;117;60;;;;;;;;;;;;;;;;;;;;;;;
142;2007;Franche-Comté;76;122;;;;;;;;;;;;;;;;;;;;;;;
143;2007;Haute Normandie;65;121;;;;;;;;;;;;;;;;;;;;;;;
144;2007;Ile-de-France;72;111;;;;;;;;;;;;;;;;;;;;;;;
145;2007;Languedoc-Roussillon;111;56;;;;;;;;;;;;;;;;;;;;;;;
146;2007;Limousin;78;134;;;;;;;;;;;;;;;;;;;;;;;
147;2007;Lorraine;77;123;;;;;;;;;;;;;;;;;;;;;;;
148;2007;Midi-Pyrénées;110;55;;;;;;;;;;;;;;;;;;;;;;;
149;2007;Nord-Pas-de-Calais;64;120;;;;;;;;;;;;;;;;;;;;;;;
150;2007;Pays de la Loire;70;112;;;;;;;;;;;;;;;;;;;;;;;
151;2007;Picardie;66;119;;;;;;;;;;;;;;;;;;;;;;;
152;2007;Poitou-Charentes;88;110;;;;;;;;;;;;;;;;;;;;;;;
153;2007;Provence-Alpes-Côte-d'Azur;120;41;;;;;;;;;;;;;;;;;;;;;;;
154;2007;Rhône-Alpes;84;108;;;;;;;;;;;;;;;;;;;;;;;
155;2006;Alsace;71;115;;;;;;;;;;;;;;;;;;;;;;;
156;2006;Aquitaine;87;110;;;;;;;;;;;;;;;;;;;;;;;
157;2006;Auvergne;87;88;;;;;;;;;;;;;;;;;;;;;;;
158;2006;Basse Normandie;74;109;;;;;;;;;;;;;;;;;;;;;;;
159;2006;Bourgogne;75;122;;;;;;;;;;;;;;;;;;;;;;;
160;2006;Bretagne;73;110;;;;;;;;;;;;;;;;;;;;;;;
161;2006;Centre;74;123;;;;;;;;;;;;;;;;;;;;;;;
162;2006;Champagne-Ardenne;70;110;;;;;;;;;;;;;;;;;;;;;;;
163;2006;Corse;118;52;;;;;;;;;;;;;;;;;;;;;;;
164;2006;Franche-Comté;70;113;;;;;;;;;;;;;;;;;;;;;;;
165;2006;Haute Normandie;66;128;;;;;;;;;;;;;;;;;;;;;;;
166;2006;Ile-de-France;71;111;;;;;;;;;;;;;;;;;;;;;;;
167;2006;Languedoc-Roussillon;108;42;;;;;;;;;;;;;;;;;;;;;;;
168;2006;Limousin;75;124;;;;;;;;;;;;;;;;;;;;;;;
169;2006;Lorraine;69;114;;;;;;;;;;;;;;;;;;;;;;;
170;2006;Midi-Pyrénées;107;43;;;;;;;;;;;;;;;;;;;;;;;
171;2006;Nord-Pas-de-Calais;68;129;;;;;;;;;;;;;;;;;;;;;;;
172;2006;Pays de la Loire;73;111;;;;;;;;;;;;;;;;;;;;;;;
173;2006;Picardie;67;130;;;;;;;;;;;;;;;;;;;;;;;
174;2006;Poitou-Charentes;89;114;;;;;;;;;;;;;;;;;;;;;;;
175;2006;Provence-Alpes-Côte-d'Azur;114;45;;;;;;;;;;;;;;;;;;;;;;;
176;2006;Rhône-Alpes;87;88;;;;;;;;;;;;;;;;;;;;;;;
177;2005;Alsace;72;103;;;;;;;;;;;;;;;;;;;;;;;
178;2005;Aquitaine;90;89;;;;;;;;;;;;;;;;;;;;;;;
179;2005;Auvergne;89;86;;;;;;;;;;;;;;;;;;;;;;;
180;2005;Basse Normandie;77;105;;;;;;;;;;;;;;;;;;;;;;;
181;2005;Bourgogne;82;107;;;;;;;;;;;;;;;;;;;;;;;
182;2005;Bretagne;76;106;;;;;;;;;;;;;;;;;;;;;;;
183;2005;Centre;83;108;;;;;;;;;;;;;;;;;;;;;;;
184;2005;Champagne-Ardenne;75;101;;;;;;;;;;;;;;;;;;;;;;;
185;2005;Corse;116;58;;;;;;;;;;;;;;;;;;;;;;;
186;2005;Franche-Comté;73;104;;;;;;;;;;;;;;;;;;;;;;;
187;2005;Haute Normandie;67;131;;;;;;;;;;;;;;;;;;;;;;;
188;2005;Ile-de-France;77;102;;;;;;;;;;;;;;;;;;;;;;;
189;2005;Languedoc-Roussillon;109;51;;;;;;;;;;;;;;;;;;;;;;;
190;2005;Limousin;82;106;;;;;;;;;;;;;;;;;;;;;;;
191;2005;Lorraine;74;105;;;;;;;;;;;;;;;;;;;;;;;
192;2005;Midi-Pyrénées;110;50;;;;;;;;;;;;;;;;;;;;;;;
193;2005;Nord-Pas-de-Calais;68;132;;;;;;;;;;;;;;;;;;;;;;;
194;2005;Pays de la Loire;75;104;;;;;;;;;;;;;;;;;;;;;;;
195;2005;Picardie;69;131;;;;;;;;;;;;;;;;;;;;;;;
196;2005;Poitou-Charentes;95;91;;;;;;;;;;;;;;;;;;;;;;;
197;2005;Provence-Alpes-Côte-d'Azur;115;55;;;;;;;;;;;;;;;;;;;;;;;
198;2005;Rhône-Alpes;89;86;;;;;;;;;;;;;;;;;;;;;;;
199;2004;Alsace;79;111;;;;;;;;;;;;;;;;;;;;;;;
200;2004;Aquitaine;88;113;;;;;;;;;;;;;;;;;;;;;;;
201;2004;Auvergne;84;99;;;;;;;;;;;;;;;;;;;;;;;
202;2004;Basse Normandie;74;119;;;;;;;;;;;;;;;;;;;;;;;
203;2004;Bourgogne;76;114;;;;;;;;;;;;;;;;;;;;;;;
204;2004;Bretagne;73;118;;;;;;;;;;;;;;;;;;;;;;;
205;2004;Centre;77;115;;;;;;;;;;;;;;;;;;;;;;;
206;2004;Champagne-Ardenne;70;100;;;;;;;;;;;;;;;;;;;;;;;
207;2004;Corse;108;82;;;;;;;;;;;;;;;;;;;;;;;
208;2004;Franche-Comté;80;112;;;;;;;;;;;;;;;;;;;;;;;
209;2004;Haute Normandie;64;122;;;;;;;;;;;;;;;;;;;;;;;
210;2004;Ile-de-France;70;101;;;;;;;;;;;;;;;;;;;;;;;
211;2004;Languedoc-Roussillon;103;53;;;;;;;;;;;;;;;;;;;;;;;
212;2004;Limousin;78;116;;;;;;;;;;;;;;;;;;;;;;;
213;2004;Lorraine;81;113;;;;;;;;;;;;;;;;;;;;;;;
214;2004;Midi-Pyrénées;104;54;;;;;;;;;;;;;;;;;;;;;;;
215;2004;Nord-Pas-de-Calais;65;123;;;;;;;;;;;;;;;;;;;;;;;
216;2004;Pays de la Loire;73;117;;;;;;;;;;;;;;;;;;;;;;;
217;2004;Picardie;64;124;;;;;;;;;;;;;;;;;;;;;;;
218;2004;Poitou-Charentes;87;105;;;;;;;;;;;;;;;;;;;;;;;
219;2004;Provence-Alpes-Côte-d'Azur;114;62;;;;;;;;;;;;;;;;;;;;;;;
220;2004;Rhône-Alpes;84;100;;;;;;;;;;;;;;;;;;;;;;;
